time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-03-21 14:15,19029.111,18777.486,0.000,0.000,106,188,23
2024-03-21 14:30,19029.111,18777.565,0.000,0.000,126,246,22
2024-03-21 14:45,19029.111,18777.657,0.000,0.000,71,297,22
2024-03-21 15:00,19029.111,18777.738,0.000,0.000,103,231,22
2024-03-21 15:15,19029.111,18777.817,0.000,0.000,83,198,22
2024-03-21 15:30,19029.111,18777.895,0.000,0.000,74,230,23
2024-03-21 15:45,19029.111,18777.960,0.000,0.000,95,259,22
2024-03-21 16:00,19029.111,18778.043,0.000,0.000,108,264,22
2024-03-21 16:15,19029.111,18778.124,0.000,0.000,122,442,23
2024-03-21 16:30,19029.111,18778.264,0.000,0.000,61,497,23
2024-03-21 16:45,19029.111,18778.393,0.000,0.000,107,767,23
2024-03-21 17:00,19029.111,18778.534,0.000,0.000,274,482,31
2024-03-21 17:15,19029.111,18778.698,0.000,0.000,255,701,30
2024-03-21 17:30,19029.111,18778.875,0.000,0.000,87,484,23
2024-03-21 17:45,19029.111,18779.008,0.000,0.000,164,461,23
2024-03-21 18:00,19029.111,18779.166,0.000,0.000,125,492,23
2024-03-21 18:15,19029.111,18779.324,0.000,0.000,115,529,22
2024-03-21 18:30,19029.111,18779.426,0.000,0.000,137,421,22
2024-03-21 18:45,19029.111,18779.523,0.000,0.000,142,238,22
2024-03-21 19:00,19029.111,18779.613,0.000,0.000,86,311,22
2024-03-21 19:15,19029.111,18779.689,0.000,0.000,130,300,22
2024-03-21 19:30,19029.111,18779.777,0.000,0.000,881,1101,25
2024-03-21 19:45,19029.111,18780.085,0.000,0.000,1343,560,31
2024-03-21 20:00,19029.111,18780.393,0.000,0.000,132,242,23
2024-03-21 20:15,19029.111,18780.504,0.000,0.000,1463,299,23
2024-03-21 20:30,19029.111,18780.735,0.000,0.000,99,253,23
2024-03-21 20:45,19029.111,18780.820,0.000,0.000,108,525,23
2024-03-21 21:00,19029.111,18780.913,0.000,0.000,114,299,23
2024-03-21 21:15,19029.111,18781.008,0.000,0.000,114,257,30
2024-03-21 21:30,19029.111,18781.101,0.000,0.000,120,1703,30
2024-03-21 21:45,19029.111,18781.309,0.000,0.000,1913,404,23
2024-03-21 22:00,19029.111,18781.560,0.000,0.000,1928,531,34
2024-03-21 22:15,19029.111,18782.021,0.000,0.000,1450,438,31
2024-03-21 22:30,19029.111,18782.308,0.000,0.000,88,2268,22
2024-03-21 22:45,19029.111,18782.697,0.000,0.000,110,1586,22
2024-03-21 23:00,19029.116,18782.916,0.000,0.000,101,207,22
2024-03-21 23:15,19029.186,18782.916,0.000,0.000,101,451,22
2024-03-21 23:30,19029.292,18782.916,0.000,0.000,123,2453,197
2024-03-21 23:45,19029.816,18782.916,0.000,0.000,119,145,22
2024-03-22 00:00,19029.875,18782.916,0.000,0.000,58,143,22
2024-03-22 00:15,19029.923,18782.916,0.000,0.000,85,384,23
2024-03-22 00:30,19029.971,18782.916,0.000,0.000,106,124,22
2024-03-22 00:45,19030.026,18782.916,0.000,0.000,123,144,23
2024-03-22 01:00,19030.084,18782.916,0.000,0.000,71,158,22
2024-03-22 01:15,19030.127,18782.916,0.000,0.000,82,158,23
2024-03-22 01:30,19030.181,18782.916,0.000,0.000,102,204,23
2024-03-22 01:45,19030.231,18782.916,0.000,0.000,98,126,22
2024-03-22 02:00,19030.289,18782.916,0.000,0.000,124,141,23
2024-03-22 02:15,19030.341,18782.916,0.000,0.000,107,112,23
2024-03-22 02:30,19030.399,18782.916,0.000,0.000,66,210,23
2024-03-22 02:45,19030.442,18782.916,0.000,0.000,86,320,23
2024-03-22 03:00,19030.496,18782.916,0.000,0.000,121,167,23
2024-03-22 03:15,19030.550,18782.916,0.000,0.000,117,172,22
2024-03-22 03:30,19030.609,18782.916,0.000,0.000,68,109,22
2024-03-22 03:45,19030.660,18782.916,0.000,0.000,102,158,22
2024-03-22 04:00,19030.712,18782.916,0.000,0.000,105,122,23
2024-03-22 04:15,19030.775,18782.916,0.000,0.000,95,160,22
2024-03-22 04:30,19030.828,18782.916,0.000,0.000,95,431,22
2024-03-22 04:45,19030.891,18782.916,0.000,0.000,101,127,22
2024-03-22 05:00,19030.945,18782.916,0.000,0.000,67,454,22
2024-03-22 05:15,19030.996,18782.916,0.000,0.000,97,137,22
2024-03-22 05:30,19031.047,18782.916,0.000,0.000,123,135,22
2024-03-22 05:45,19031.109,18782.916,0.000,0.000,104,134,22
2024-03-22 06:00,19031.165,18782.916,0.000,0.000,64,101,22
2024-03-22 06:15,19031.213,18782.916,0.000,0.000,96,165,22
2024-03-22 06:30,19031.262,18782.916,0.000,0.000,106,139,22
2024-03-22 06:45,19031.319,18782.916,0.000,0.000,98,505,22
2024-03-22 07:00,19031.370,18782.918,0.000,0.000,87,664,26
2024-03-22 07:15,19031.370,18783.035,0.000,0.000,86,1153,23
2024-03-22 07:30,19031.370,18783.232,0.000,0.000,152,1057,266
2024-03-22 07:45,19031.370,18783.369,0.000,0.000,123,441,30
2024-03-22 08:00,19031.370,18783.465,0.000,0.000,2221,429,23
2024-03-22 08:15,19031.370,18783.763,0.000,0.000,2458,169,23
2024-03-22 08:30,19031.370,18784.298,0.000,0.000,1392,487,23
2024-03-22 08:45,19031.370,18784.526,0.000,0.000,758,413,22
2024-03-22 09:00,19031.370,18784.682,0.000,0.000,504,490,23
2024-03-22 09:15,19031.370,18784.805,0.000,0.000,324,231,22
2024-03-22 09:30,19031.370,18784.923,0.000,0.000,142,268,22
2024-03-22 09:45,19031.370,18785.021,0.000,0.000,178,314,30
2024-03-22 10:00,19031.370,18785.141,0.000,0.000,154,358,30
2024-03-22 10:15,19031.370,18785.259,0.000,0.000,105,401,23
2024-03-22 10:30,19031.370,18785.379,0.000,0.000,283,296,23
2024-03-22 10:45,19031.370,18785.500,0.000,0.000,306,383,23
2024-03-22 11:00,19031.370,18785.624,0.000,0.000,120,338,23
2024-03-22 11:15,19031.370,18785.739,0.000,0.000,147,367,23
2024-03-22 11:30,19031.370,18785.851,0.000,0.000,124,380,23
2024-03-22 11:45,19031.370,18785.964,0.000,0.000,231,292,23
2024-03-22 12:00,19031.370,18786.084,0.000,0.000,104,325,22
2024-03-22 12:15,19031.370,18786.186,0.000,0.000,152,565,41
2024-03-22 12:30,19031.370,18786.280,0.000,0.000,158,241,34
2024-03-22 12:45,19031.370,18786.368,0.000,0.000,119,270,27
2024-03-22 13:00,19031.370,18786.456,0.000,0.000,76,207,22
2024-03-22 13:15,19031.370,18786.529,0.000,0.000,653,412,22
2024-03-22 13:30,19031.370,18786.660,0.000,0.000,1083,203,23
2024-03-22 13:45,19031.370,18786.898,0.000,0.000,141,177,26
2024-03-22 14:00,19031.370,18786.982,0.000,0.000,480,427,30
2024-03-22 14:15,19031.370,18787.113,0.000,0.000,90,526,22
2024-03-22 14:30,19031.370,18787.195,0.000,0.000,126,258,23
2024-03-22 14:45,19031.370,18787.283,0.000,0.000,107,486,33
2024-03-22 15:00,19031.370,18787.368,0.000,0.000,106,307,41
2024-03-22 15:15,19031.370,18787.455,0.000,0.000,95,504,30
2024-03-22 15:30,19031.370,18787.531,0.000,0.000,100,232,22
2024-03-22 15:45,19031.370,18787.602,0.000,0.000,105,578,23
2024-03-22 16:00,19031.370,18787.681,0.000,0.000,108,446,23
2024-03-22 16:15,19031.370,18787.766,0.000,0.000,127,244,23
2024-03-22 16:30,19031.370,18787.848,0.000,0.000,92,305,22
2024-03-22 16:45,19031.370,18787.935,0.000,0.000,122,288,22
2024-03-22 17:00,19031.370,18788.028,0.000,0.000,140,476,22
2024-03-22 17:15,19031.370,18788.121,0.000,0.000,93,246,23
2024-03-22 17:30,19031.370,18788.222,0.000,0.000,120,287,23
2024-03-22 17:45,19031.370,18788.316,0.000,0.000,147,434,22
2024-03-22 18:00,19031.370,18788.404,0.000,0.000,132,262,23
2024-03-22 18:15,19031.370,18788.502,0.000,0.000,84,194,22
2024-03-22 18:30,19031.370,18788.575,0.000,0.000,227,190,45
2024-03-22 18:45,19031.370,18788.659,0.000,0.000,1212,445,22
2024-03-22 19:00,19031.370,18788.904,0.000,0.000,1414,266,22
2024-03-22 19:15,19031.370,18789.257,0.000,0.000,155,356,22
2024-03-22 19:30,19031.370,18789.406,0.000,0.000,184,566,22
2024-03-22 19:45,19031.370,18789.531,0.000,0.000,185,1152,22
2024-03-22 20:00,19031.370,18789.791,0.000,0.000,136,539,22
2024-03-22 20:15,19031.370,18789.885,0.000,0.000,137,302,23
2024-03-22 20:30,19031.370,18789.995,0.000,0.000,186,828,23
2024-03-22 20:45,19031.370,18790.126,0.000,0.000,147,272,23
2024-03-22 21:00,19031.370,18790.232,0.000,0.000,81,217,23
2024-03-22 21:15,19031.370,18790.303,0.000,0.000,144,197,23
